Time_s   F0_Hz
5.002279   121.591960
5.017279   124.095035
5.032279   127.304669
5.047279   128.200494
5.062279   128.382073
5.077279   128.352730
5.092279   128.040606
5.107279   128.075279
5.122279   127.405625
5.137279   127.385526
5.152279   128.025403
5.167279   128.290639
5.182279   128.240628
5.197279   128.810761
5.212279   128.873048
5.227279   132.498649
5.242279   132.793391
5.257279   136.458180
5.272279   140.626233
5.287279   143.813439
5.302279   146.793566
5.317279   148.380089
5.332279   147.405955
5.347279   143.525803
5.362279   139.076385
5.377279   133.189396
5.392279   124.095917
5.407279   121.924300
5.422279   118.290598
5.437279   108.619832
5.452279   107.583867
5.467279   105.966865
5.482279   102.811469
5.497279   101.064972
5.512279   99.522269
5.527279   97.751894
5.542279   96.294655
5.557279   94.987970
5.572279   93.131549
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
5.722279   102.657597
5.737279   99.066518
5.752279   95.780528
5.767279   93.373568
5.782279   90.767141
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
5.902279   118.142160
5.917279   112.382315
5.932279   107.322069
5.947279   105.704668
5.962279   103.884705
5.977279   101.345937
5.992279   99.365646
6.007279   95.091081
6.022279   94.925020
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
--undefined--   --undefined--
