status code: 200
{'start': 0.0, 'stress': False, 'end': 0.09, 'str': u'dh'}
{'start': 0.09, 'stress': False, 'end': 0.16, 'str': u'ah'}
{'start': 0.16, 'stress': False, 'end': 0.27, 'str': u'hh'}
{'start': 0.27, 'stress': False, 'end': 0.36, 'str': u'ay'}
{'start': 0.36, 'stress': False, 'end': 0.44, 'str': u'p'}
{'start': 0.44, 'stress': False, 'end': 0.5, 'str': u'er'}
{'start': 0.5, 'stress': False, 'end': 0.5700000000000001, 'str': u't'}
{'start': 0.5700000000000001, 'stress': False, 'end': 0.66, 'str': u'eh'}
{'start': 0.66, 'stress': False, 'end': 0.74, 'str': u'k'}
{'start': 0.74, 'stress': False, 'end': 0.78, 'str': u's'}
{'start': 0.78, 'stress': False, 'end': 0.8200000000000001, 'str': u't'}
{'start': 0.83, 'stress': False, 'end': 0.8999999999999999, 'str': u't'}
{'start': 0.8999999999999999, 'stress': False, 'end': 0.96, 'str': u'r'}
{'start': 0.96, 'stress': False, 'end': 1.03, 'str': u'ae'}
{'start': 1.03, 'stress': False, 'end': 1.1, 'str': u'n'}
{'start': 1.1, 'stress': False, 'end': 1.1600000000000001, 'str': u's'}
{'start': 1.1600000000000001, 'stress': False, 'end': 1.2600000000000002, 'str': u'f'}
{'start': 1.2600000000000002, 'stress': False, 'end': 1.3400000000000003, 'str': u'er'}
{'start': 1.34, 'stress': False, 'end': 1.4000000000000001, 'str': u'p'}
{'start': 1.4000000000000001, 'stress': False, 'end': 1.4600000000000002, 'str': u'r'}
{'start': 1.4600000000000002, 'stress': False, 'end': 1.5300000000000002, 'str': u'ow'}
{'start': 1.5300000000000002, 'stress': False, 'end': 1.5700000000000003, 'str': u't'}
{'start': 1.5700000000000003, 'stress': False, 'end': 1.6300000000000003, 'str': u'ah'}
{'start': 1.6300000000000003, 'stress': False, 'end': 1.7100000000000004, 'str': u'k'}
{'start': 1.7100000000000004, 'stress': False, 'end': 1.8500000000000005, 'str': u'ao'}
{'start': 1.8500000000000005, 'stress': False, 'end': 2.0100000000000007, 'str': u'l'}
{'start': 2.2, 'stress': False, 'end': 3.29, 'str': u'oov'}
{'start': 3.45, 'stress': False, 'end': 3.5500000000000003, 'str': u'ih'}
{'start': 3.5500000000000003, 'stress': False, 'end': 3.6100000000000003, 'str': u'z'}
{'start': 3.61, 'stress': False, 'end': 3.6799999999999997, 'str': u'd'}
{'start': 3.6799999999999997, 'stress': False, 'end': 3.7299999999999995, 'str': u'ih'}
{'start': 3.7299999999999995, 'stress': False, 'end': 3.8499999999999996, 'str': u'z'}
{'start': 3.8499999999999996, 'stress': False, 'end': 3.9799999999999995, 'str': u'ay'}
{'start': 3.9799999999999995, 'stress': False, 'end': 3.9899999999999993, 'str': u'n'}
{'start': 3.9899999999999993, 'stress': False, 'end': 4.029999999999999, 'str': u'd'}
{'start': 4.03, 'stress': False, 'end': 4.07, 'str': u't'}
{'start': 4.07, 'stress': False, 'end': 4.13, 'str': u'uw'}
{'start': 4.13, 'stress': False, 'end': 4.1899999999999995, 'str': u'ih'}
